"pathway","NES","padj","gene","gene_log2FC","gene_padj"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.0594886782831,4.40887927249929e-07,"ADAM12",-1.5104367254993,1.37937860427679e-36
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.0594886782831,4.40887927249929e-07,"CXCL8",-1.50610918030713,0.028671200949515
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.0594886782831,4.40887927249929e-07,"COL5A3",-1.49568002046231,0.272558555404209
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.0594886782831,4.40887927249929e-07,"MATN2",-1.44580219362787,5.58745594630931e-18
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.0594886782831,4.40887927249929e-07,"TGFBI",-1.43919910309391,1.12852871594228e-14
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.0594886782831,4.40887927249929e-07,"MMP14",-1.42341006552546,1.91381872159422e-25
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.0594886782831,4.40887927249929e-07,"IL15",-1.39724078599341,2.93117303049213e-11
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.0594886782831,4.40887927249929e-07,"THY1",-1.39209380592993,3.76750299803932e-20
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.0594886782831,4.40887927249929e-07,"SFRP1",-1.35636149456363,1.27386241388775e-24
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.0594886782831,4.40887927249929e-07,"CDH2",-1.33426184423516,8.98058417591662e-27
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.0594886782831,4.40887927249929e-07,"DST",-1.28647351697666,6.53229112711348e-25
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.0594886782831,4.40887927249929e-07,"FERMT2",-1.28471017781155,1.28974619360147e-14
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.0594886782831,4.40887927249929e-07,"FAS",-1.25938895929983,3.66566901598253e-17
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.0594886782831,4.40887927249929e-07,"BGN",-1.21742888895713,0.0545883982205363
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.0594886782831,4.40887927249929e-07,"FGF2",-1.20606297814764,4.31673327261947e-22
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.0594886782831,4.40887927249929e-07,"SERPINH1",-1.19293292868199,3.3699428505504e-11
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.0594886782831,4.40887927249929e-07,"CDH6",-1.18890228987312,7.82625567903111e-16
